rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.486	0.48633219954648543	0.5563321995464855	197	203	201	201	91.83	201	201	201	201	91.86	0	0	0	0	0	0	0	33	33	0	0.07000000000000006	0	0	0	0.4863	0	80.6	0	1	0	1	0	0.09499999999999997
0.581	0.5813321995464854	0.6863321995464855	199	207	202	202	91.98	202	202	202	202	91.95	0	0	0.13	0	0	0	0	34	34	0	0.1050000000000001	0	0	0	0.025	0	81	0	1	0	0	0	0.17499999999999993
0.756	0.7563321995464853	0.9063321995464855	215	422	265	291	98.26	215	422	215	422	104.66	1	11.64	1.12	11.64	0	11.64	0	39	94	55	0.15000000000000013	0	0	0	0.07	0	79.4	0	1	0	0	0	0.3799999999999999
1.136	1.1363321995464852	1.1813321995464843	247	260	255	255	95.94	255	255	255	255	95.95	0	0	-8.7	0	0	0	0	53	53	0	0.04499999999999904	0	0	0	0.23	0	76.2	0	1	0	0	0	0.18999999999999995
1.326	1.3263321995464852	1.3963321995464837	190	216	193	199	91.64	193	193	193	193	91.12	0	0	-4.81	0	0	0	0	30	30	0	0.06999999999999851	0	0	0	0.145	0	77.7	0	1	0	0	0	0.09000000000000008
1.416	1.4163321995464853	1.4813321995464839	202	217	213	212	92.79	213	213	213	213	92.84	0	0	1.73	0	0	0	0	38	38	0	0.06499999999999861	0	0	0	0.02	0	78	0	1	0	0	0	0.18999999999999995
1.606	1.6063321995464852	1.6713321995464838	144	181	157	156	87.49	157	157	157	157	87.55	0	0	-5.27	0	0	0	0	13	13	0	0.06499999999999861	0	0	0	0.125	0	71.3	0	1	0	0	0	0.13000000000000012
1.736	1.7363321995464853	1.8213321995464835	135	143	137	138	85.39	137	137	137	137	85.28	0	0	-2.26	0	0	0	0	2	2	0	0.08499999999999819	0	0	0	0.065	0	71	0	1	1	0	0.416	0.08499999999999819
