rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.511	0.510578231292517	0.6055782312925171	131	153	145	145	86.18	145	145	145	145	86.16	0	0	0	0	0	0	0	13	13	0	0.09500000000000008	0	0	0	0.5106	0	77.8	0	1	0	1	0	0.16500000000000004
0.676	0.675578231292517	0.7155782312925171	167	172	170	170	88.92	170	170	170	170	88.93	0	0	2.77	0	0	0	0	33	33	0	0.040000000000000036	0	0	0	0.07	0	84.6	0	1	0	0	0	0.06499999999999995
0.741	0.740578231292517	0.800578231292517	182	188	187	186	90.54	187	187	187	187	90.58	0	0	1.67	0	0	0	0	46	46	0	0.06000000000000005	0	0	0	0.025	0	82.4	0	1	0	0	0	0.22000000000000008
0.961	0.9605782312925171	1.055578231292516	247	279	262	263	96.5	262	262	262	262	96.43	0	0	5.87	0	0	0	0	88	88	0	0.09499999999999886	0	0	0	0.16	0	80.5	0	1	0	0	0	0.19999999999999996
1.161	1.160578231292517	1.2805782312925145	206	285	265	259	96.25	285	206	206	285	97.9	-1	-5.58	1.5	0	-5.58	5.58	0	99	58	-42	0.11999999999999744	0	0	0	0.105	0	75.9	0	1	0	0	0	0.14500000000000002
1.306	1.305578231292517	1.3955782312925151	167	194	189	186	90.55	189	189	189	189	90.8	0	0	-1.43	0	0	0	0	47	47	0	0.08999999999999808	0	0	0	0.025	0	76.4	0	1	0	0	0	0.21999999999999997
1.526	1.525578231292517	1.6855782312925136	139	144	141	141	85.79	141	141	141	141	85.75	0	0	-4.99	0	0	0	0	10	10	0	0.1599999999999966	0	0	0	0.13	0	74.6	0	1	0	0	0	0.19999999999999996
1.726	1.725578231292517	1.8905782312925135	136	141	137	138	85.31	137	137	137	137	85.3	0	0	-0.37	0	0	0	0	6	6	0	0.16499999999999648	0	0	0	0.04	0	71.4	0	1	1	0	0.131	0.16499999999999648
