rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.412	0.41191609977324256	0.5119160997732426	184	203	198	198	91.58	198	198	198	198	91.57	0	0	0	0	0	0	0	35	35	0	0.10000000000000003	0	0	0	0.4119	0	81.9	0	1	0	1	0	0.23499999999999993
0.647	0.6469160997732425	0.8769160997732427	225	367	333	315	99.64	225	359	225	360	101.92	1	8.12	2.26	8.12	0	8.12	0	47	93	45	0.2300000000000002	0	0	0	0.135	0	84.6	0	1	0	0	0	0.44499999999999995
1.092	1.0919160997732424	1.1869160997732404	195	205	201	201	91.84	201	201	201	201	91.86	0	0	-10	0	0	0	0	36	36	0	0.09499999999999797	0	0	0	0.215	0	74.8	0	1	0	0	0	0.1499999999999999
1.242	1.2419160997732424	1.3219160997732406	239	253	250	249	95.53	250	250	250	250	95.59	0	0	3.78	0	0	0	0	58	58	0	0.0799999999999983	0	0	0	0.055	0	78.1	0	1	0	0	0	0.23499999999999988
1.477	1.4769160997732422	1.536916099773241	167	185	177	176	89.57	177	177	177	177	89.66	0	0	-5.93	0	0	0	0	24	24	0	0.05999999999999872	0	0	0	0.155	0	76.9	0	1	0	0	0	0.11500000000000021
1.592	1.5919160997732424	1.6519160997732412	171	185	183	182	90.11	183	183	183	183	90.22	0	0	0.61	0	0	0	0	27	27	0	0.05999999999999872	0	0	0	0.055	0	79.3	0	1	0	0	0	0.14500000000000002
1.737	1.7369160997732425	1.7969160997732412	167	179	176	175	89.49	176	176	176	176	89.53	0	0	-0.66	0	0	0	0	23	23	0	0.05999999999999872	0	0	0	0.085	0	80.7	0	1	0	0	0	0.10999999999999988
1.847	1.8469160997732423	1.95691609977324	144	172	160	160	87.92	160	160	160	160	87.88	0	0	-1.63	0	0	0	0	14	14	0	0.10999999999999766	0	0	0	0.05	0	76.7	0	1	0	0	0	0.2450000000000001
2.092	2.0919160997732424	2.1869160997732404	139	145	140	141	85.68	140	140	140	140	85.61	0	0	-2.26	0	0	0	0	1	1	0	0.09499999999999797	0	0	0	0.135	0	74.5	0	1	1	0	0.297	0.09499999999999797
